Date,Startup,Industry,Subvertical,City,Investors,Round,Amount
2016-07-03,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,8.517
2016-08-03,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,Private Equity,0.0
2016-08-03,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,Seed Funding,0.0
2016-08-03,vPhrase Analytics,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",Seed Funding,0.0
2016-08-03,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,63.8775
2016-08-03,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,681.36
2016-08-03,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,55.3605
2016-09-03,Indiamart,ECommerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,Private Equity,0.0
2016-09-03,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,42.585
2016-09-03,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,212.925
2016-09-03,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,85.17
2016-09-03,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed Funding,0.0
2016-09-03,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,34.068
2016-09-03,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed Funding,0.0
2016-10-03,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,945.387
2016-10-03,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",Seed Funding,0.0
2016-10-03,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,1277.55
2016-10-03,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Seed Funding,85.17
